layer,x1_mm,y1_mm,x2_mm,y2_mm,width_mm,length_mm,net
F.Cu,230.898,135.075,230.986,134.986,0.1,0.13,USART1_TX
F.Cu,225.398,101.398,225.398,100.949,0.1,0.45,USART1_TX
F.Cu,162.616,160.62,162.616,151.384,0.1,9.24,USART1_TX
F.Cu,234.935,131.0,234.935,104.685,0.1,26.31,USART1_TX
F.Cu,162.616,151.384,163.0,151.0,0.1,0.54,USART1_TX
F.Cu,234.5,104.25,234.5,104.203,0.1,0.05,USART1_TX
F.Cu,211.249,150.699,217.0,150.699,0.1,5.75,USART1_TX
F.Cu,217.0,150.699,230.75,150.699,0.1,13.75,USART1_TX
F.Cu,112.35,147.25,115.75,147.25,0.1,3.4,SD_CK
F.Cu,180.0,156.05,180.396,156.446,0.1,0.56,SD_CK
F.Cu,180.396,156.446,180.396,160.62,0.1,4.17,SD_CK
F.Cu,112.25,147.35,112.35,147.25,0.1,0.14,SD_CK
F.Cu,189.75,154.5,190.556,155.306,0.1,1.14,SD_D2
F.Cu,112.5,141.5,117.75,141.5,0.1,5.25,SD_D2
F.Cu,190.556,155.306,190.556,160.62,0.1,5.31,SD_D2
F.Cu,189.75,154.45,189.75,154.5,0.1,0.05,SD_D2
F.Cu,208.5,150.321,209.821,149.0,0.1,1.87,AUDIO_IN_L
F.Cu,230.25,134.75,234.333,130.667,0.1,5.77,AUDIO_IN_L
F.Cu,211.0,149.0,211.5,149.5,0.1,0.71,AUDIO_IN_L
F.Cu,230.25,150.0,230.25,134.75,0.1,15.25,AUDIO_IN_L
